name,brewery_type,city,postal_code,website_url,state,colorado_cup_medal,colorado_cup_category,colorado_cup_beer,gabf_medal,gabf_category,gabf_beer,population,povertyRate
Blue Spruce Brewing Littleton,brewpub,Littleton,80127,http://www.bluesprucebrewing.com,Colorado,,,,,,,45246,0.1
Boggy Draw Brewery,micro,Sheridan,80110,http://www.boggydrawbrewing.com,Colorado,,,,,,,22660,0.174
Bonfire Brewing,micro,Eagle,81631,http://www.bonfirebrewing.com,Colorado,,,,,,,8718,0.048
Bonfire Brewing Production,micro,Eagle,81631,,Colorado,,,,,,,8718,0.048
Bootstrap Brewing,micro,Longmont,80501,,Colorado,,,,,,,41671,0.231
Bootstrap Brewing Co,micro,Niwot,80503,http://www.bootstrapbrewing.com,Colorado,,,,,,,35299,0.179
Bottom Shelf Brewery,brewpub,Bayfield,81122,http://www.bottomshelfbrewing.com,Colorado,,,,,,,8772,0.198
Boulder Beer Co,regional,Boulder,80301,,Colorado,,,,,,,24783,0.165
Boulder Beer On Walnut,brewpub,Boulder,80302,,Colorado,,,,,,,27428,0.529
Brass Brewing Company,micro,Colorado Springs,80903,,Colorado,,,,,,,14503,0.292
Breckenridge Brewery,large,Littleton,80120,http://www.breckenridgebrewery.com,Colorado,,,,,,,31356,0.194
Breckenridge Brewery & Pub,large,Breckenridge,80424,http://www.breckbrewpub.com,Colorado,,,,,,,10087,0.166
Breckenridge Brewery Ale & Game House,brewpub,Englewood,80112,https://www.breckbrewinverness.com/,Colorado,,,,,,,32311,0.105
Brew Pub and Kitchen,brewpub,Durango,81301,http://www.brewpubkitchen.com,Colorado,,,,,,,29392,0.2
Brewability Lab,micro,Denver,80239,http://www.Brewabilitylab.com,Colorado,,,,,,,45595,0.204
Brewery Rickoli,micro,Wheat Ridge,80033,http://www.breweryrickoli.com,Colorado,,,,,,,25386,0.197
Brewmented,micro,Longmont,80501,http://www.brewmented.com,Colorado,,,,,,,41671,0.231
Briar Common Brewery,brewpub,Denver,80211,http://www.briarcommon.com,Colorado,,,,,,,35310,0.166
Bristol Brewing Co,micro,Colorado Springs,80905,http://www.bristolbrewing.com,Colorado,Colorado Cup Winner,"Golden, Blonde, & Other Light Ales",Beehive Honey Wheat,,,,16130,0.211
Bristol Brewing Co,micro,Colorado Springs,80905,http://www.bristolbrewing.com,Colorado,Colorado Cup Winner,Classic UK Amber & Brown Ales,Draft Project London Brown,,,,16130,0.211
Broken Compass Brewing,micro,Breckenridge,80424,http://www.brokencompassbrewing.com,Colorado,,,,,,,10087,0.166
Broken Plow Brewery,micro,Greeley,80634,http://www.brokenplowbrewery.com,Colorado,,,,,,,59255,0.233
BRU Handbuilt Ales and Eats,brewpub,Boulder,80303,http://www.bruboulder.com,Colorado,,,,,,,24656,0.417
Brues Alehouse Brewing Company,brewpub,Pueblo,81003,http://www.bruesalehouse.com,Colorado,,,,,,,12761,0.342
Bruz Beers,micro,Denver,80221,http://www.bruzbeers.com,Colorado,Colorado Cup Winner,Sour Ales,Ghost in the Wood,,,,41235,0.225
Buckhorn Brewers LLC,micro,Loveland,80537,,Colorado,,,,,,,43100,0.143
Bull & Bush Brewery,brewpub,Denver,80246,http://www.bullandbush.com,Colorado,,,,,,,13382,0.152
Burgundian Brewing Co.,micro,Denver,80211,http://www.facebook.com/BurgundianBrewing,Colorado,,,,,,,35310,0.166
"Burly Brewing Company, LLC",closed,Castle Rock,80109,http://www.burlybrewing.com,Colorado,,,,,,,23185,0.133
Burns Family Artisan Ales,planning,Denver,80219,,Colorado,,,,,,,70337,0.301
Butcherknife Brewing Company,micro,Steamboat Springs,80487,http://www.butcherknifebrewing.com,Colorado,,,,,,,17692,0.215
C.B. and Potts/Big Horn Brewery - Englewood,closed,Englewood,80111,http://www.cbpotts.com,Colorado,,,,,,,33134,0.14
C.B. and Potts/Big Horn Brewery - Highlands Ranch,closed,Highlands Ranch,80129,http://www.cbpotts.com,Colorado,,,,,,,31244,0.121
C.B. and Potts/Big Horn Brewery - Westminster,closed,Westminster,80234,http://www.cbpotts.com,Colorado,,,,,,,28041,0.154
Call To Arms Brewing Company,micro,Denver,80212,http://www.facebook.com/calltoarmsbrewing,Colorado,,,,,,,19446,0.192
